index,review_count,positive_count,positive_sum,negative_count,negative_sum
8512,22,22,9.185504223785474,0,0.0
8513,37,29,13.613607179857182,1,-0.12916666666666668
8514,0,0,0.0,0,0.0
8515,12,11,5.256172878047878,0,0.0
8516,23,22,10.12146825570263,1,-0.16666666666666666
8517,0,0,0.0,0,0.0
8518,41,41,17.729173682851243,0,0.0
8519,2,2,1.0142857142857145,0,0.0
8520,0,0,0.0,0,0.0
8521,3,3,1.1691666666666667,0,0.0
8522,2,2,0.7455555555555555,0,0.0
8523,47,40,20.93342063492063,0,0.0
8524,20,20,9.149182744157095,0,0.0
8525,0,0,0.0,0,0.0
8526,86,79,34.696191713837216,2,-0.22083333333333333
8527,56,48,21.59634322023293,2,-0.36666666666666664
8528,0,0,0.0,0,0.0
8529,0,0,0.0,0,0.0
8530,0,0,0.0,0,0.0
8531,40,34,15.716366548412601,2,-0.3875
8532,50,47,19.485320268135744,0,0.0
8533,43,39,13.528206376956382,2,-0.3546296296296296
8534,3,3,0.7331854256854258,0,0.0
8535,17,16,6.670013812941445,0,0.0
